# atmos --saveVMR -z0[1]4[2]10[5]30[10]70 -fxy -o US_standard16.xy US_standard50.xy
#
#what:   z    pressure temperature         CO2
#units: km          mb           K         ppm
       0.0        1010     288.200         330
       1.0         899     281.700         330
       2.0         795     275.200         330
       3.0         701     268.700         330
       4.0         617     262.200         330
       6.0         472     249.200         330
       8.0         356     236.200         330
      10.0         265     223.300         330
      15.0         121     216.700         330
      20.0        55.3     216.700         330
      25.0        25.5     221.600         330
      30.0          12     226.500         330
      40.0        2.87     250.400         330
      50.0       0.798     270.700         330
      60.0       0.219     247.000         330
      70.0      0.0522     219.600         330
