# Aerosol optical depth profile from Elterman (1968) 
# between 0-50 km, at 340 nm. Set to zero above 50 km.
#      z     tau
#     (km)  (aero)
     40.000  0.0000416
     37.500  0.0000789
     35.000  0.000157
     32.500  0.000298
     30.000  0.000599
     27.500  0.001132
     25.000  0.000630
     24.000  0.000749
     23.000  0.000945
     22.000  0.00123
     21.000  0.00164
     20.000  0.00226
     19.000  0.00308
     18.000  0.00388
     17.000  0.00378
     16.000  0.00383
     15.000  0.00403
     14.000  0.00428
     13.000  0.00437
     12.000  0.00474
     11.000  0.00451
     10.000  0.00482
      9.000  0.00494
      8.000  0.00515
      7.000  0.00500
      6.000  0.00538
      5.000  0.00763
      4.000  0.0101
      3.000  0.0191
      2.000  0.0456
      1.000  0.106
      0.000  0.24
