# extracted from data/atmmod/afglus.dat
#     p(hPa)   T(K)
     0.00003  360.0 
     0.00004  300.0 
     0.00007  240.0 
     0.00014  208.8 
     0.00032  195.1 
     0.00076  188.4 
     0.00184  186.9 
     0.00446  188.9 
     0.01050  198.6 
     0.02400  208.4 
     0.05220  219.6 
     0.10900  233.3 
     0.21900  247.0 
     0.42500  260.8 
     0.79780  270.7 
     1.09000  270.6 
     1.49100  264.2 
     2.06000  257.3 
     2.87100  250.4 
     4.15000  242.9 
     5.74600  236.5 
     8.01000  230.0 
    11.97000  226.5 
    17.43000  224.0 
    25.49000  221.6 
    29.72000  220.6 
    34.67000  219.6 
    40.47000  218.6 
    47.29000  217.6 
    55.29000  216.7 
    64.67000  216.7 
    75.65000  216.7 
    88.50000  216.7 
   103.50000  216.7 
   121.10000  216.7 
   141.70000  216.7 
   165.80000  216.7 
   194.00000  216.7 
   227.00000  216.8 
   265.00000  223.3 
   308.00000  229.7 
   356.50000  236.2 
   411.10001  242.7 
   472.20001  249.2 
   540.50000  255.7 
   616.59998  262.2 
   701.20001  268.7 
   795.00000  275.2 
   898.79999  281.7 
  1013.00000  288.2 
